Name,Market Value,Age,Goals/90,Assists/90,Shot on target %,Shot-creating actions/90,Goal-creating actions/90
Kylian Mbappe,160 million,23,1.04,0.38,49,4.77,1.08
Erling Haaland,150 million,22,1.27,0.23,45.6,2.58,0.5
Vinicius Junior,120 million,22,0.46,0.32,46,5.09,0.72
Mohamed Salah,90 million,20,0.63,0.26,38.6,4.03,0.5
Harry Kane,90 million,29,0.61,0.23,37.7,3.91,0.63
Dusan Vlahovic,85 million,22,0.65,0.11,44.2,2.37,0.35
Christopher Nkunku,80 million,24,0.75,0.25,47.2,4.27,0.58
Antony,75 million,22,0.33,0,51.2,3.94,0.33
Luis Diaz,75 million,25,0.37,0.22,36.5,4.42,0.52
Lautaro Martinez,75 million,25,0.65,0.18,38.7,2.92,0.49
Jadon Sancho,75 million,22,0.23,0.13,39.5,3.65,0.53
Heung-Min Son,75 million,30,0.6,0.2,55.4,4.14,0.45
Neymar,75 million,30,0.71,0.5,47.1,6.59,0.9
Darwin Nunez,70 million,23,0.78,0.14,43.9,2.26,0.28
Joao Felix,70 million,22,0.5,0.27,39.7,3.3,0.5
Rodrygo,70 million,21,0.44,0.32,39.6,4.51,0.88
Rafael Leao,70 million,23,0.39,0.37,32.5,4.36,0.59
Jack Grealish,70 million,27,0.12,0.04,29.4,5.23,0.37
Raheem Sterling,70 million,27,0.48,0.2,45.8,3.55,0.35
Romelu Lukaku,70 million,29,0.53,0.07,36.1,2.74,0.53
Victor Osimhen,65 million,23,0.71,0.15,32.1,2.54,0.41
Gabriel Jesus,65 million,25,0.41,0.32,39.4,4.2,0.66
Serge Gnabry,65 million,27,0.58,0.35,41,4.67,0.77
Moussa Diaby,60 million,23,0.43,0.29,54.3,3.54,0.61
Mikel Oyarzabal,60 million,25,0.39,0.2,26.3,2.87,0.26
Diogo Jota,60 million,25,0.42,0.34,34.9,3.69,0.65
Marcus Rashford,60 million,25,0.32,0.18,48.5,2.46,0.25
Kingsley Coman,60 million,26,0.27,0.31,40.3,5.35,0.62
Sadio Mane,60 million,30,0.5,0.14,43.8,4.2,0.67
Leroy Sane,60 million,26,0.47,0.28,39,4.7,0.65
Dejan Kulusevski,50 million,22,0.27,0.58,31.4,3.92,0.88
Raphinha,50 million,25,0.24,0.21,17.6,4.25,0.52
Richarlison,50 million,25,0.33,0.2,30.8,2.81,0.33
Arnaut Danjuma,50 million,25,0.54,0.1,44.4,1.9,0.19
Alexander Isak,50 million,23,0.3,0.04,42.9,2.83,0.17
Tammy Abraham,50 million,25,0.47,0.08,40.2,2.54,0.41
Ousmane Dembele,50 million,25,0.18,0.59,24,5.63,0.89
Patrik Schick,50 million,26,0.6,0.1,42.6,2.52,0.44
Lionel Messi,50 million,35,0.46,0.67,39.9,6.44,1.3
Jonathan David,45 million,22,0.45,0.08,43.9,2.5,0.3
Robert Lewandowski,45 million,34,1,0.18,48.2,3.14,0.49
Christian Pulisic,42 million,24,0.35,0.22,32.6,2.86,0.35
Jarrod Bowen,42 million,25,0.33,0.14,33.3,2.47,0.33
Gabriel Martinelli,40 million,21,0.31,0.23,31.1,3.9,0.63
Yeremy Pino,40 million,20,0.3,0.05,47.1,2.7,0.3
Anthony Gordon,40 million,21,0.21,0.06,52.5,2.59,0.12
Ferran Torres,40 million,22,0.37,0.24,31,2.76,0.34
Allan Saint-Maximin,40 million,25,0.16,0.2,43.1,4.41,0.53
Angel Correa,40 million,27,0.54,0.12,45.5,3.43,0.58
Ivan Toney,40 million,26,0.57,0.14,33.7,2.69,0.28
Gerard Moreno,40 million,30,0.64,0.29,33.3,3.16,0.59
Yannick Carrasco,40 million,29,0.19,0.16,26.1,4.53,0.25
Wilfried Zaha,38 million,29,0.47,0.06,45,3.6,0.35
Khvicha Kvaratskhelia,35 million,21,0.58,0.58,32.7,5.47,1.17
Karim Adeyemi,35 million,20,0.08,0.08,47.8,3.8,0.41
Cody Gakpo,35 million,23,0.67,0.61,43.1,6.61,1.06
Amine Gouiri,35 million,22,0.36,0.24,39.5,3.33,0.42
Ollie Watkins,35 million,26,0.29,0.13,44.4,2.39,0.4
Marco Asensio,35 million,26,0.52,0.19,49.4,3.62,0.52
Goncalo Guedes,35 million,25,0.36,0.16,34.5,3.45,0.48
Paulo Dybala,35 million,28,0.55,0.16,37.9,4.78,0.43
Sebastien Haller,35 million,28,0.8,0.23,40.7,2.84,0.51
Riyad Mahrez,35 million,31,0.52,0.24,35.4,4.43,0.58
Antoine Griezmann,35 million,31,0.27,0.34,41,3.78,0.54
Martin Terrier,32 million,25,0.72,0.18,53.2,3.53,0.61
Emiliano Buendia,32 million,25,0.17,0.22,24.5,3.8,0.52
Roberto Firmino,32 million,31,0.56,0.3,46.9,3.85,0.56
Matheus Cunha,30 million,23,0.29,0.35,41.5,3.21,0.53
Pedro Goncalves,30 million,24,0.39,0.42,42.2,4.56,0.74
Giacomo Raspadori,30 million,22,0.46,0.2,40.2,3.49,0.55
Hirving Lozano,30 million,27,0.28,0.24,34.8,3.9,0.61
Gianluca Scamacca,30 million,23,0.57,0,41.1,2.28,0.18
Karim Benzema,30 million,34,0.92,0.19,42.3,4.19,0.44
Hugo Ekitike,28 million,20,0.59,0.34,53.6,3.04,0.76
Julian Alvarez,28 million,22,0.58,0.23,47.6,3.47,0.35
Jack Harrison,28 million,25,0.28,0.12,44.4,3.43,0.22
Tete,28 million,22,0.38,0.38,34.7,3.49,0.82
Duvan Zapata,28 million,31,0.31,0.1,32.1,3.7,0.26
Donyell Malen,27 million,23,0.32,0.16,37.3,3.36,0.48
Steven Bergwijn,27 million,25,0.68,0.25,43.8,4.9,0.51
Andre Silva,27 million,26,0.48,0.08,42.6,2.8,0.7
Ciro Immobile,27 million,32,0.78,0.14,46.3,2.62,0.58
Anthony Elanga,25 million,20,0.15,0.15,38.2,2.16,0.34
Armando Broja,25 million,21,0.21,0,50,1.77,0.25
Luis Sinisterra,25 million,23,0.4,0,30,4.37,0.4
Nicolas Gonzalez,25 million,24,0.27,0.22,23.4,3.87,0.49
Bryan Mbeumo,25 million,23,0.14,0.23,33.8,2.53,0.45
Callum Hudson-Odoi,25 million,21,0.11,0.16,26.9,4.46,0.49
Nicolas Pepe,25 million,27,0.41,0.08,26.8,3.19,0.57
Said Benrahma,25 million,27,0.28,0.16,31.9,3.79,0.2
Viktor Tsyhankov,25 million,24,0.26,0.13,35.7,1.81,0.26
Inaki Williams,25 million,28,0.3,0.15,40.6,2.62,0.3
Enes Unal,25 million,25,0.47,0.08,30.3,2.33,0.19
Lucas Ocampos,25 million,28,0.25,0.16,30.8,2.35,0.33
Domenico Berardi,25 million,28,0.42,0.46,33.3,5.86,0.73
Timo Werner,25 million,26,0.56,0.17,40,2.02,0.47
Memphis Depay,25 million,28,0.62,0,46.2,3.56,0.23
Leandro Trossard,25 million,27,0.36,0.12,38,3.54,0.48
Alvaro Morata,25 million,30,0.36,0.21,41.2,2.69,0.45
Aleksandar Mitrovic,25 million,28,0.8,0,32.7,3.27,0.62
